effective_date,filing_date,report_date,form,amended,category,accession,primary_document
2026-03-31,2026-04-23,2026-03-31,10-Q,no,quarterly,0001628280-26-026673,tsla-20260331.htm
2025-12-31,2026-04-30,2025-12-31,10-K/A,yes,annual,0001104659-26-053166,tm2611837d1_10ka.htm
2025-12-31,2026-01-29,2025-12-31,10-K,no,annual,0001628280-26-003952,tsla-20251231.htm
2025-09-30,2025-10-23,2025-09-30,10-Q,no,quarterly,0001628280-25-045968,tsla-20250930.htm
2025-06-30,2025-07-24,2025-06-30,10-Q,no,quarterly,0001628280-25-035806,tsla-20250630.htm
2025-03-31,2025-04-23,2025-03-31,10-Q,no,quarterly,0001628280-25-018911,tsla-20250331.htm
2024-12-31,2025-04-30,2024-12-31,10-K/A,yes,annual,0001104659-25-042659,tm252787d2_10ka.htm
2024-12-31,2025-01-30,2024-12-31,10-K,no,annual,0001628280-25-003063,tsla-20241231.htm
2024-09-30,2024-10-24,2024-09-30,10-Q,no,quarterly,0001628280-24-043486,tsla-20240930.htm
2024-06-30,2024-07-24,2024-06-30,10-Q,no,quarterly,0001628280-24-032662,tsla-20240630.htm
2024-03-31,2024-04-24,2024-03-31,10-Q,no,quarterly,0001628280-24-017503,tsla-20240331.htm
2023-12-31,2024-01-29,2023-12-31,10-K,no,annual,0001628280-24-002390,tsla-20231231.htm
2023-09-30,2023-10-23,2023-09-30,10-Q,no,quarterly,0001628280-23-034847,tsla-20230930.htm
2023-06-30,2023-07-24,2023-06-30,10-Q,no,quarterly,0000950170-23-033872,tsla-20230630.htm
2023-03-31,2023-04-24,2023-03-31,10-Q,no,quarterly,0000950170-23-013890,tsla-20230331.htm
2022-12-31,2023-01-31,2022-12-31,10-K,no,annual,0000950170-23-001409,tsla-20221231.htm
2022-09-30,2022-10-24,2022-09-30,10-Q,no,quarterly,0000950170-22-019867,tsla-20220930.htm
2022-06-30,2022-07-25,2022-06-30,10-Q,no,quarterly,0000950170-22-012936,tsla-20220630.htm
2022-03-31,2022-04-25,2022-03-31,10-Q,no,quarterly,0000950170-22-006034,tsla-20220331.htm
2021-12-31,2022-05-02,2021-12-31,10-K/A,yes,annual,0001564590-22-016871,tsla-10ka_20211231.htm
2021-12-31,2022-02-07,2021-12-31,10-K,no,annual,0000950170-22-000796,tsla-20211231.htm
2021-09-30,2021-10-25,2021-09-30,10-Q,no,quarterly,0000950170-21-002253,tsla-20210930.htm
2021-06-30,2021-07-27,2021-06-30,10-Q,no,quarterly,0000950170-21-000524,tsla-20210630.htm
2021-03-31,2021-04-28,2021-03-31,10-Q,no,quarterly,0000950170-21-000046,tsla-20210331.htm
2020-12-31,2021-04-30,2020-12-31,10-K/A,yes,annual,0001564590-21-022604,tsla-10ka_20201231.htm
2020-12-31,2021-02-08,2020-12-31,10-K,no,annual,0001564590-21-004599,tsla-10k_20201231.htm
2020-09-30,2020-10-26,2020-09-30,10-Q,no,quarterly,0001564590-20-047486,tsla-10q_20200930.htm
2020-06-30,2020-07-28,2020-06-30,10-Q,no,quarterly,0001564590-20-033670,tsla-10q_20200630.htm
2020-03-31,2020-04-30,2020-03-31,10-Q,no,quarterly,0001564590-20-019931,tsla-10q_20200331.htm
2019-12-31,2020-04-28,2019-12-31,10-K/A,yes,annual,0001564590-20-018984,tsla-10ka_20191231.htm
2019-12-31,2020-02-13,2019-12-31,10-K,no,annual,0001564590-20-004475,tsla-10k_20191231.htm
2019-09-30,2019-10-29,2019-09-30,10-Q,no,quarterly,0001564590-19-038256,tsla-10q_20190930.htm
2019-06-30,2019-07-29,2019-06-30,10-Q,no,quarterly,0001564590-19-026445,tsla-10q_20190630.htm
2019-03-31,2019-04-29,2019-03-31,10-Q,no,quarterly,0001564590-19-013462,tsla-10q_20190331.htm
2018-12-31,2019-02-19,2018-12-31,10-K,no,annual,0001564590-19-003165,tsla-10k_20181231.htm
2018-09-30,2018-11-02,2018-09-30,10-Q,no,quarterly,0001564590-18-026353,tsla-10q_20180930.htm
2018-06-30,2018-08-06,2018-06-30,10-Q,no,quarterly,0001564590-18-019254,tsla-10q_20180630.htm
2018-03-31,2018-05-07,2018-03-31,10-Q,no,quarterly,0001564590-18-011086,tsla-10q_20180331.htm
